"","nonmanual","ID","duration","wh_word","wh_overlap","item","spanish","gloss","cohort","Sex","age","year_tested","year_entry"
"1","Chin lift",34,1.37,"Cuantos","Cuantos","siblings","cuantos hermanos tienes?","how many siblings do you have?","hearing","F",27.6,2010,NA
"2","Chin lift",34,0.72,"Que","Que","wake up time","a que hora te levantaste?","at what time do you get up?","hearing","F",27.6,2010,NA
"3","Chin lift",34,1.75,NA,NA,"other","el nombre de tu mama, de tu, de tu maestra?","the name of your mom, your, your teacher?","hearing","F",27.6,2010,NA
"4","Chin lift",34,1.03,"Como","Como","name","como te..como se llama tu maestra?","what is your... what is your teacher's name?","hearing","F",27.6,2010,NA
"5","Head tilt",34,2.24,"Que",NA,"transportation","que transporte te lleva al trabajo o a la escuela?","how do you get to work or school?","hearing","F",27.6,2010,NA
"6","Chin lift",35,0.67,"Que","Que","age","que edad tienes?","how old are you","hearing","F",30.2,2010,NA
"7","Head tilt",35,0.82,"Que",NA,"birthday","que dia es cumpleanos?","what day is your birthday?","hearing","F",30.2,2010,NA
"8","Head tilt",35,0.42,"Que",NA,"birthday","que dia es cumpleanos?","what day is your birthday?","hearing","F",30.2,2010,NA
"9","Head tilt",35,0.27,"Como","Como","teacher","como se llama su professora","what is the name of your teacher?","hearing","F",30.2,2010,NA
"10","Shoulder raise",35,0.42,"Que",NA,"age","que edad tienes?","how old are you","hearing","F",30.2,2010,NA
"11","Shoulder raise",35,0.77,"Que",NA,"town","que direccion es tu casa?","what address is your house?","hearing","F",30.2,2010,NA
"12","Shoulder raise",35,0.47,"Que",NA,"transportation","que ruta pasa cerca de tu casa","what route passes near your house","hearing","F",30.2,2010,NA
"13","Shoulder raise",35,0.83,"Cuando",NA,"mother's birthday","cuando cumple anos tu mama","when is your mom's birthday?","hearing","F",30.2,2010,NA
"14","Nose wrinkle",1,0.41,"Adonde","Adonde","town",NA,"YOU HOUSE DONDE","second","F",24.4,2008,1989
