"","ID","item","ht","cl","sr","fb","nw","rb","cohort","gloss","spanish","Sex","age","year_tested","year_entry"
"1",34,"age",0,0,0,0,0,0,"hearing","how old are you?","que edad tienes?","F",27.6,2010,NA
"2",35,"age",0,1,1,0,0,0,"hearing","how old are you","que edad tienes?","F",30.2,2010,NA
"3",1,"age",1,0,0,0,0,0,"second","YOU YEAR",NA,"F",24.4,2008,1989
"4",42,"age",0,0,1,0,0,0,"hearing","How old are you?","Cuantos anos tienes?","M",29.4,2011,NA
"5",42,"age",0,0,0,0,0,1,"hearing","How old are you?","Cuantos anos tienes?","M",29.4,2011,NA
"6",43,"age",0,0,0,0,0,0,"hearing","How old are you","Cuanto anos tienes?","M",26,2011,NA
"7",44,"age",0,0,0,0,0,0,"hearing","How old are you?","Cuanto anos tienes","M",27.6,2011,NA
"8",2,"age",0,0,0,0,0,0,"second","YOU YEAR QUESTION",NA,"M",21.9,2008,1990
"9",4,"age",1,0,0,0,0,0,"second","YEARS",NA,"M",27.2,2009,1986
"10",5,"age",1,0,0,1,0,0,"second","YOU YEAR YOU",NA,"M",26.2,2008,1986
"11",13,"age",0,0,0,1,0,0,"second","YEARS","","F",34.1,2017,1985
"12",17,"age",0,0,0,0,0,0,"first","YEARS YOU",NA,"F",36.5,2017,1977
"13",28,"age",1,1,0,1,1,0,"third","HAVE YEARS YOU","","M",21.9,2017,1999
"14",47,"age",1,0,0,0,0,0,"hearing","how old are you?","cuantos años tienes?","F",37.9,2017,NA
"15",50,"age",0,0,0,0,0,1,"hearing","Your age?","Tu edad?","F",43.5,2017,NA
"16",23,"age",0,0,0,3,2,0,"third","HOW HAVE E SORRY HOW HAVE YEARS",NA,"F",23.8,2017,1997
"17",6,"age",0,1,0,0,1,0,"second","YEARS",NA,"F",29.8,2011,1987
"18",7,"age",1,1,0,0,0,0,"first","YOU YEAR",NA,"F",31.8,2008,1983
"19",8,"age",0,1,0,0,0,1,"first","YEAR YOU YEAR",NA,"F",40.1,2008,1974
"20",8,"age",0,1,0,0,1,0,"first","T U (fs) E D A D (fs) WHAT",NA,"F",40.1,2008,1974
"21",39,"age",1,0,0,1,0,0,"hearing","Love, what age are you","Amor, que edad tienes?","M",24.7,2010,NA
"22",38,"age",0,0,0,0,0,1,"hearing","How old are you?","Que edad tu tienes?","F",28.7,2010,NA
"23",41,"age",0,1,0,1,0,0,"hearing","How old are you?","Que edad tienes?","F",24.8,2010,NA
"24",34,"age",0,0,0,0,0,0,"hearing","How old are you?","Que edad tienes?","F",NA,2010,NA
"25",36,"age",0,0,0,0,0,1,"hearing","How old are you?","Cuantos anos tienes?","M",23.8,2010,NA
"26",36,"age",0,0,0,0,0,0,"hearing","How old are you?","Cuantos anos tienes?","M",23.8,2010,NA
"27",37,"age",0,1,0,0,0,0,"hearing","How old are you?","Que eda tienes?","F",55.3,2010,NA
"28",37,"age",0,0,0,0,0,0,"hearing","How old are you?","Cuantos años tienes?","F",55.3,2010,NA
"29",9,"age",1,0,0,0,0,0,"first","YOU YEAR",NA,"M",31,2008,1983
"30",10,"age",0,1,0,0,1,0,"second","YEAR QUESTION",NA,"F",27.2,2009,1987
"31",11,"age",1,1,0,1,0,0,"second"," QUESTION YOU YEAR",NA,"M",23.1,2008,1989
"32",14,"age",0,0,0,1,1,0,"second","YOU YEAR QUESTION",NA,"F",23.3,2008,1989
"33",15,"age",0,0,0,1,1,0,"third","QUESTION YEARS WHAT",NA,"F",28.8,2017,1994
"34",18,"age",0,0,0,1,0,1,"third","QUESTION YEAR",NA,"M",19.3,2009,1993
"35",19,"age",0,1,0,1,0,0,"third","QUESTION YEAR",NA,"M",18.7,2009,1993
"36",20,"age",1,0,0,1,0,0,"second","QUESTION YOU YEAR WHAT",NA,"M",23.9,2008,1990
"37",21,"age",0,0,0,0,0,0,"second","QUESTION YOU YEAR YOU",NA,"M",21.5,2008,1990
"38",22,"age",0,0,0,1,1,0,"first","YOU YEAR",NA,"M",30.5,2008,1978
"39",24,"age",0,0,0,0,0,0,"first","YOU YEAR YOU",NA,"M",30.9,2008,1980
"40",25,"age",0,0,0,0,0,0,"third","YOU HAVE YEAR",NA,"F",19.4,2009,1994
"41",26,"age",0,0,0,0,0,0,"first","E-D-A-D YEAR YOU E-D-A-D YEAR YOU",NA,"M",50,2017,1974
"42",26,"age",0,0,0,0,0,0,"first","YEAR... YEARS",NA,"M",50,2017,1974
"43",27,"age",1,0,0,1,0,0,"third","QUESTION YOU HAVE YEARS",NA,"M",23.4,2017,1998
"44",29,"age",0,1,0,0,0,1,"third","YEAR YOU YEAR",NA,"M",15.9,2009,1997
"45",30,"age",0,0,0,1,0,0,"third","ME YOU YEARS YOU",NA,"F",16.1,2010,1998
"46",31,"age",0,0,0,0,0,0,"first","YOU E-D-A-D YEAR",NA,"M",30.5,2008,1982
"47",32,"age",0,1,0,2,0,0,"first","YOU YEARS YOU YEARS YOU",NA,"M",42.8,2017,1979
"48",33,"age",0,0,0,0,0,0,"first","YOU YOU YEARS YOU",NA,"F",31,2008,1983
